class,level,category,book,recipe,recipe_id,book_id
Adorner,,Adornments (Materials),"Transmuting Dilutions, Volume 1",Ulteran Powder,2522373324,2096953936
Adorner,,Adornments (Materials),"Transmuting Distillations, Volume 1",Ulteran Powder,4267382927,1850302013
Adorner,1,Adornment (Primordial),Primordial Adornment of Power (Head),Primordial Adornment of Power (Head),3109226641,1866331833
Adorner,10,Adornments (Materials),"Transmuting Dilutions, Volume 2",Aether Powder,2872142324,337346030
Adorner,10,Adornments (Materials),"Transmuting Distillations, Volume 2",Aether Powder,1975964198,1417484527
Adorner,10,Adornments (Materials),"Transmuting Dilutions, Volume 2",Coral Fragment,478707894,337346030
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Agility (Lesser),3612442742,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Blasting (Greater),3587883412,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Endurance (Greater),3337353138,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Endurance (Lesser),2028041665,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Energy (Greater),2916389203,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Energy (Lesser),1079302312,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Intelligence (Lesser),2392204671,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Mending (Greater),1028231801,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Strength (Lesser),2298051908,3012850542
Adorner,10,Adornments,Essential Adornments Volume 2,Glowing Adornment of Wisdom (Lesser),3477946456,3012850542
Adorner,10,Adornments (Materials),"Transmuting Dilutions, Volume 2",Infusion of Air,1043786448,337346030
Adorner,10,Adornments (Materials),"Transmuting Distillations, Volume 2",Infusion of Air,3515611582,1417484527
Adorner,10,Adornment (Primordial),Primordial Adornment of Furor (Hands),Primordial Adornment of Furor (Hands),3621721040,28438008
Adorner,10,Adornments (Materials),"Transmuting Distillations, Volume 2",Processed Mana,2831780921,1417484527
Adorner,15,Adornments,Advanced Adornments Volume 2,Glowing Adornment of Endurance (Superior),3823641181,3399096157
Adorner,15,Adornments,Advanced Adornments Volume 2,Glowing Adornment of Energy (Superior),681951364,3399096157
Adorner,20,Adornments (Materials),"Transmuting Distillations, Volume 3",Clarified Mana,3289084008,438424473
Adorner,20,Adornments (Materials),"Transmuting Dilutions, Volume 3",Infusion of Fire,530244624,2905863468
Adorner,20,Adornments (Materials),"Transmuting Distillations, Volume 3",Infusion of Fire,3045004636,438424473
Adorner,20,Adornments (Materials),"Transmuting Dilutions, Volume 3",Jasper Fragment,4046728321,2905863468
Adorner,20,Adornments (Materials),"Transmuting Dilutions, Volume 3",Phantom Powder,3829767973,2905863468
Adorner,20,Adornments (Materials),"Transmuting Distillations, Volume 3",Phantom Powder,2353453926,438424473
Adorner,20,Adornments,Essential Adornments Volume 3,Phantom Soul Trap,31960910,2974446665
Adorner,20,Adornment (Primordial),Primordial Adornment of Carnage (Forearms),Primordial Adornment of Carnage (Forearms),1682652691,2988818491
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Agility (Lesser),1007090495,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Blasting (Greater),2831256204,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Defense (Lesser),597875091,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Endurance (Greater),3589960879,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Endurance (Lesser),2478182024,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Energy (Greater),337411074,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Energy (Lesser),3751662128,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Intelligence (Lesser),3357145009,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Magical Skill (Lesser),2607422075,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Mending (Greater),563887094,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Parrying (Lesser),596773938,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Strength (Lesser),3518237569,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Weaponry (Lesser),3281215285,2974446665
Adorner,20,Adornments,Essential Adornments Volume 3,Sparkling Adornment of Wisdom (Lesser),1350847168,2974446665
Adorner,25,Adornments,Advanced Adornments Volume 3,Sparkling Adornment of Endurance (Superior),2893162318,2432378941
Adorner,25,Adornments,Advanced Adornments Volume 3,Sparkling Adornment of Energy (Superior),936080316,2432378941
Adorner,30,Adornments (Materials),"Transmuting Dilutions, Volume 4",Ethereal Powder,1753083549,3319034514
Adorner,30,Adornments (Materials),"Transmuting Distillations, Volume 4",Ethereal Powder,2277572083,538285387
Adorner,30,Adornments,Essential Adornments Volume 4,Ethereal Soul Trap,4057099545,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Agility (Lesser),3200419950,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Blasting (Greater),3092894019,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Defense (Lesser),2823100967,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Endurance (Greater),3727766485,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Endurance (Lesser),292715993,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Energy (Greater),2266073643,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Energy (Lesser),2263256170,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Heightened Power (Greater),1320505668,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Intelligence (Lesser),1031577384,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Magical Skill (Greater),1499217686,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Magical Skill (Lesser),306992371,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Mending (Greater),1673375340,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Parrying (Lesser),4011170916,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Strength (Lesser),489921495,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Weaponry (Greater),3804163486,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Weaponry (Lesser),253022051,2969536852
Adorner,30,Adornments,Essential Adornments Volume 4,Glimmering Adornment of Wisdom (Lesser),167711898,2969536852
Adorner,30,Adornments (Materials),"Transmuting Dilutions, Volume 4",Infusion of Water,2758384171,3319034514
Adorner,30,Adornments (Materials),"Transmuting Distillations, Volume 4",Infusion of Water,3685315169,538285387
Adorner,30,Adornments (Materials),"Transmuting Dilutions, Volume 4",Opal Fragment,3709610172,3319034514
Adorner,30,Adornment (Primordial),Primordial Adornment of Dominion (Legs),Primordial Adornment of Dominion (Legs),180823378,3702119290
Adorner,30,Adornments (Materials),"Transmuting Distillations, Volume 4",Purified Mana,1433776199,538285387
Adorner,35,Adornments,Advanced Adornments Volume 4,Glimmering Adornment of Endurance (Superior),1987882358,269172514
Adorner,35,Adornments,Advanced Adornments Volume 4,Glimmering Adornment of Energy (Superior),1786442688,269172514
Adorner,40,Adornments,Bulwark of Zek,Artisan's Amalgamation,4021895598,4042050633
Adorner,40,Adornments,Bulwark of Zek,Bulwark of Zek,3385207512,4042050633
Adorner,40,Adornments (Materials),"Transmuting Dilutions, Volume 5",Infusion of Nightmares,2895837483,68412137
Adorner,40,Adornments (Materials),"Transmuting Distillations, Volume 5",Infusion of Nightmares,2484740973,2258126197
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Agility (Lesser),2113433962,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Arcane Resilience (Lesser),4023309488,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Blasting (Greater),1738081557,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Defense (Lesser),3702133133,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Elemental Resilience (Lesser),1536987781,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Endurance (Greater),1558579136,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Endurance (Lesser),3527967965,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Energy (Greater),3060162251,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Energy (Lesser),3628055785,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Heightened Power (Greater),2554165871,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Intelligence (Lesser),956806257,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Magical Skill (Greater),3493225507,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Magical Skill (Lesser),16762504,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Mending (Greater),3280354240,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Noxious Resilience (Lesser),110932412,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Parrying (Lesser),3647093145,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Strength (Lesser),725892650,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Weaponry (Greater),1031682504,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Weaponry (Lesser),962816670,3036051975
Adorner,40,Adornments,Essential Adornments Volume 5,Luminous Adornment of Wisdom (Lesser),1462117401,3036051975
Adorner,40,Adornments (Materials),"Transmuting Distillations, Volume 5",Natural Mana,1403734978,2258126197
Adorner,40,Adornment (Primordial),Primordial Adornment of Elusiveness (Feet),Primordial Adornment of Elusiveness (Feet),3625083860,243047932
Adorner,40,Adornments (Materials),"Transmuting Dilutions, Volume 5",Ruby Fragment,2765045486,68412137
Adorner,40,Adornments (Materials),"Transmuting Dilutions, Volume 5",Spectral Powder,4218960175,68412137
Adorner,40,Adornments (Materials),"Transmuting Distillations, Volume 5",Spectral Powder,348465729,2258126197
Adorner,40,Adornments,Essential Adornments Volume 5,Spectral Soul Trap,1288185983,3036051975
Adorner,45,Adornments,Advanced Adornments Volume 5,Luminous Adornment of Endurance (Superior),336586981,607737597
Adorner,45,Adornments,Advanced Adornments Volume 5,Luminous Adornment of Energy (Superior),2672294745,607737597
Adorner,50,Adornments (Materials),"Transmuting Distillations, Volume 6",Coalesced Mana,162442880,3165389735
Adorner,50,Adornments,Henchman Adorment Pack,Henchman Adornment Pack,85586333,1545535725
Adorner,50,Adornments (Materials),"Transmuting Dilutions, Volume 6",Infusion of Daydreams,1025417306,1827956055
Adorner,50,Adornments (Materials),"Transmuting Distillations, Volume 6",Infusion of Daydreams,1694900984,3165389735
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Aggressiveness (Greater),2721613446,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Agility (Lesser),2830404310,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Arcane Resilience (Lesser),583499188,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Blasting (Greater),2856307508,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Critical Chance (Greater),1045440750,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Critical Chance (Lesser),2698969495,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Damaging (Lesser),800536761,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Defense (Greater),3490133509,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Defense (Lesser),3211573299,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Elemental Resilience (Lesser),2432336324,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Endurance (Greater),272806224,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Endurance (Lesser),117735265,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Energy (Greater),3478200975,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Energy (Lesser),419093492,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Extra Attacks (Greater),3640040659,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Fading (Greater),438661032,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Haste (Greater),3681531719,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Haste (Lesser),2465126994,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Heightened Power (Greater),4009960168,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Intelligence (Lesser),2103543325,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Magical Skill (Greater),430207859,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Magical Skill (Lesser),1153404361,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Mending (Greater),2991491381,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Noxious Resilience (Lesser),3415546040,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Parrying (Greater),1851548441,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Parrying (Lesser),4124598715,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Reuse (Greater),1242090900,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Strength (Lesser),134112776,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Swift Casting (Greater),2916635035,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Swift Casting (Lesser),857952821,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Weaponry (Greater),4040751081,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Weaponry (Lesser),366555836,3041101594
Adorner,50,Adornments,Essential Adornments Volume 6,Lambent Adornment of Wisdom (Lesser),2548253444,3041101594
Adorner,50,Adornments (Materials),"Transmuting Dilutions, Volume 6",Pearl Fragment,1048283576,1827956055
Adorner,50,Adornment (Primordial),Primordial Adornment of Destruction (Head),Primordial Adornment of Destruction (Head),3063838869,1626375869
Adorner,50,Adornments,Essential Adornments Volume 6,Soul Trap of Vision,3170757160,3041101594
Adorner,50,Adornments (Materials),"Transmuting Dilutions, Volume 6",Vision Powder,4142160210,1827956055
Adorner,50,Adornments (Materials),"Transmuting Distillations, Volume 6",Vision Powder,672391808,3165389735
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Aggressiveness (Superior),1640529825,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Avoidance (Superior),2465162086,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Blocking (Superior),3766063716,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Critical Chance (Superior),3759807457,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Damaging (Superior),2639637490,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Endurance (Superior),2906261583,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Energy (Superior),2812468168,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Extra Attacks (Superior),2326345596,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Fading (Superior),41753326,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Haste (Superior),1994163769,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Increased Criticals (Superior),532918088,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Raw Power (Superior),602860448,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Reuse (Superior),788091260,2764653026
Adorner,55,Adornments,Advanced Adornments Volume 6,Lambent Adornment of Swift Casting (Superior),4074491923,2764653026
Adorner,60,Adornments,Essential Adornments Volume 7,Enchanted Adamantine Ore,144007637,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Enchanted Azurite Capillary,3159431598,3080552509
Adorner,60,Adornments (Materials),"Transmuting Distillations, Volume 7",Hardened Mana,1280516261,4075866321
Adorner,60,Adornments (Materials),"Transmuting Dilutions, Volume 7",Illusionary Powder,715054185,3588025749
Adorner,60,Adornments (Materials),"Transmuting Distillations, Volume 7",Illusionary Powder,3169367055,4075866321
Adorner,60,Adornments (Materials),"Transmuting Dilutions, Volume 7",Infusion of Illusion,1980226512,3588025749
Adorner,60,Adornments (Materials),"Transmuting Distillations, Volume 7",Infusion of Illusion,113862893,4075866321
Adorner,60,Adornments (Materials),"Transmuting Dilutions, Volume 7",Lunar Fragment,360006409,3588025749
Adorner,60,Adornment (Primordial),Primordial Adornment of Talent (Hands),Primordial Adornment of Talent (Hands),84563286,3546590078
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Aggressiveness (Greater),2025428778,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Agility (Lesser),2228726931,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Arcane Resilience (Lesser),1139524376,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Blasting (Greater),2266213626,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Critical Chance (Greater),3790227004,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Critical Chance (Lesser),2836375429,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Damaging (Lesser),2500851207,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Defense (Greater),4270814714,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Defense (Lesser),3616801735,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Elemental Resilience (Lesser),3197209990,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Endurance (Greater),1823699584,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Endurance (Lesser),728193316,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Energy (Greater),4078918898,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Energy (Lesser),1039324966,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Extra Attacks (Greater),962584760,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Fading (Greater),644551125,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Haste (Greater),2532645731,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Haste (Lesser),4113606880,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Heightened Power (Greater),2265000830,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Intelligence (Lesser),475364060,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Magical Skill (Greater),4161605400,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Magical Skill (Lesser),2830977811,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Mending (Greater),2630273738,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Noxious Resilience (Lesser),2864293396,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Parrying (Greater),1131414743,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Parrying (Lesser),1331736325,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Reuse (Greater),1730456154,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Strength (Lesser),3175524534,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Swift Casting (Greater),1282485744,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Swift Casting (Lesser),3743519983,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Weaponry (Greater),3723792423,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Weaponry (Lesser),2942434306,3080552509
Adorner,60,Adornments,Essential Adornments Volume 7,Scintillating Adornment of Wisdom (Lesser),3001765846,3080552509
